Файл отчёта Servo Bench
Дата: 2025-02-19 20:50:35.5234519 GMT+3

Время	Температура	Ток	Напряжение	

19,000935	22	1	12
20,000956	22	1	21
21,000637	21	3	8
22,000648	22	3	14
23,001545	20	3	18
24,000170	21	1	18
25,000113	20	2	12
26,000057	20	1	13
27,004673	22	2	12
28,001247	22	3	21
29,006729	20	4	12
30,000088	21	3	20
31,006096	21	2	21
32,006874	20	3	19
33,006226	20	2	14
34,006004	22	2	15
35,006729	21	4	14
36,010910	22	4	14
37,009468	20	2	21
38,014835	21	1	15
39,001495	22	2	14
40,002220	20	3	18
41,002636	21	2	17
42,009075	21	4	16
43,000626	22	3	18
44,003399	22	4	18
45,015087	20	4	15
46,015358	20	1	14
47,012619	21	3	19
48,006378	21	2	12
49,008163	21	3	14
50,013966	20	3	11
51,011448	20	3	21
52,013695	22	4	12
53,012657	22	2	17
54,012218	22	2	9
55,004761	20	3	10
56,007168	20	3	14
57,010849	21	4	8
58,014355	21	4	15
59,002247	20	3	14
60,013786	22	1	21
61,001152	22	3	15
62,003582	21	4	10
63,006008	20	3	12
64,005356	22	3	18
65,009766	20	3	13
66,012512	20	3	20
67,008957	22	1	11
68,000809	21	4	12
69,003082	22	3	11
70,015770	22	2	10
71,003578	20	2	17
72,004456	22	3	11
73,003036	21	4	11
74,008514	22	3	17
75,012527	20	3	11
76,012299	22	4	8
77,000023	20	2	12
78,013580	20	3	19
79,014824	20	2	19
80,006607	20	1	8
81,010025	21	2	21
82,008812	20	2	15
83,011192	21	3	18
84,015236	22	2	9
85,004509	21	1	8
86,001701	22	4	16
87,006996	21	3	15
88,007721	21	2	21
89,011200	21	2	16
90,003250	21	4	11
91,004189	20	2	11
92,013290	21	1	21
93,001602	22	3	15
94,005867	22	2	13
95,002968	20	2	15
96,007019	20	2	20
97,008553	22	1	17
98,009247	21	2	17
99,013329	21	3	11
100,002655	20	4	8
101,003906	22	1	17
102,008682	22	1	20
103,000809	22	1	9
104,003250	21	2	8
105,007317	20	1	9
106,010826	20	3	15
107,002510	21	4	12
108,004410	21	3	12
109,008675	22	1	11
110,009712	21	1	20
111,012817	22	4	9
112,014259	21	4	18
113,014801	22	2	10
114,009178	20	1	14
115,005280	21	2	8
116,013161	22	3	10
117,015221	20	3	20
118,012421	22	4	12
119,004303	21	3	8
120,003548	21	3	20
121,003792	22	1	20
122,003471	20	4	12
123,003609	20	1	21
124,003235	21	4	8
125,004471	20	4	19
126,003052	20	4	19
127,003242	22	4	17
128,002701	21	1	14
129,002533	22	2	9
130,002594	20	2	16
131,002365	22	4	8
132,002380	22	4	21
133,002426	21	1	18
134,002045	20	3	8
135,002014	21	1	20
136,001953	20	2	16
137,002014	20	2	9
138,001755	20	1	15
139,001495	21	3	14
140,001724	22	2	14
141,001495	20	4	18
142,001495	22	3	18
143,001129	21	3	18
144,001160	20	1	14
145,001450	21	2	20
