Файл отчёта log_1000 Servo Bench
Дата: 2025-02-19 22:55:00.2160397 GMT+3

Время	Температура	Ток	Напряжение	

6,005877	21	3	9
7,005920	21	3	15
8,005361	20	4	10
9,005280	22	2	11
10,005392	20	4	13
11,005919	21	2	14
12,004477	22	3	21
13,004397	20	4	14
14,004587	22	1	8
15,004117	22	3	11
16,003971	22	4	15
17,004513	22	1	17
18,003712	20	1	11
19,003687	22	3	19
20,003963	22	3	19
21,003475	22	1	17
22,003366	21	3	11
23,003447	20	3	11
24,003155	20	4	21
25,002977	22	3	8
26,004112	22	3	9
27,003542	21	1	14
28,003654	21	2	12
29,003254	20	2	9
30,003199	20	1	17
31,003355	20	4	17
32,002563	20	2	9
33,002411	20	3	11
34,002796	21	4	13
35,002350	21	2	15
36,002499	22	1	19
37,002148	20	4	14
38,002014	20	4	9
39,002472	21	1	10
40,001862	22	1	21
